sgRNA	gene	CTRL_ERS717283.plasmid	CTRL_AHumanV1scr_r1-altered	MOLM_rep_1	MOLM_rep_2	MV411_rep_1	MV411_rep_2	HL60_rep_1	HL60_rep_2	OCIAML2_rep_1	OCIAML2_rep_2	OCIAML3_rep_1	OCIAML3_rep_2
A1BG_CCDS12976.1_ex4_19:58863655-58863678:+_5-2	A1BG	580	679	379	223	56	720	371	475	268	339	366	405
A1BG_CCDS12976.1_ex4_19:58863697-58863720:-_5-3	A1BG	803	983	262	269	342	988	797	691	716	695	693	687
A1BG_CCDS12976.1_ex3_19:58862927-58862950:-_5-1	A1BG	1122	1282	300	1500	304	855	1066	979	996	1173	816	1169
A1BG_CCDS12976.1_ex4_19:58863866-58863889:+_5-4	A1BG	424	547	24	575	155	254	265	226	244	317	216	221
A1BG_CCDS12976.1_ex5_19:58864367-58864390:-_5-5	A1BG	368	555	18	93	113	705	178	307	271	298	501	418
A1CF_CCDS7241.1_ex6_10:52588014-52588037:-_5-1	A1CF	234	263	202	75	264	309	143	218	183	320	171	138
A1CF_CCDS7241.1_ex7_10:52595962-52595985:-_5-2	A1CF	3	1	0	0	0	0	0	0	0	0	0	0
A1CF_CCDS7241.1_ex9_10:52603844-52603867:-_5-5	A1CF	851	936	832	251	289	1369	720	910	749	804	647	960
A1CF_CCDS7241.1_ex7_10:52596023-52596046:+_5-3	A1CF	472	590	642	83	342	422	237	329	335	405	317	491
A1CF_CCDS7241.1_ex9_10:52603761-52603784:+_5-4	A1CF	20	23	26	0	0	112	44	79	0	0	6	54
A2M_CCDS44827.1_ex22_12:9252049-9252072:+_5-3	A2M	390	477	220	261	382	938	408	430	300	492	191	373
A2M_CCDS44827.1_ex24_12:9254225-9254248:+_5-4	A2M	448	520	306	344	98	390	685	342	340	418	504	605
A2M_CCDS44827.1_ex25_12:9256894-9256917:+_5-5	A2M	1211	1345	1380	713	506	1338	903	887	1168	1163	990	1442
A2M_CCDS44827.1_ex18_12:9246130-9246153:+_5-1	A2M	479	602	328	483	139	570	971	682	436	649	584	828
A2M_CCDS44827.1_ex22_12:9252012-9252035:+_5-2	A2M	831	883	1010	1395	1597	1079	627	532	712	1091	644	1208
A2ML1_CCDS8596.2_ex10_12:8994081-8994104:-_5-3	A2ML1	136	165	113	919	161	180	165	132	94	145	89	199
A2ML1_CCDS8596.2_ex11_12:8995845-8995868:-_5-4	A2ML1	726	907	877	206	612	660	810	729	547	750	436	894
A2ML1_CCDS8596.2_ex2_12:8976351-8976374:+_5-1	A2ML1	850	998	789	425	492	392	726	531	450	551	579	965
A2ML1_CCDS8596.2_ex8_12:8990981-8991004:-_5-2	A2ML1	306	332	225	109	784	484	184	333	189	297	199	234
A2ML1_CCDS8596.2_ex11_12:8995893-8995916:+_5-5	A2ML1	228	280	337	399	162	391	185	144	324	344	161	321
A3GALT2_CCDS60080.1_ex2_1:33778149-33778172:+_5-5	A3GALT2	182	248	158	183	60	8	125	44	91	123	140	214
A3GALT2_CCDS60080.1_ex0_1:33773046-33773069:-_5-3	A3GALT2	472	660	210	397	19	805	508	654	389	429	535	786
A3GALT2_CCDS60080.1_ex0_1:33772971-33772994:+_5-2	A3GALT2	768	853	164	317	481	368	865	622	365	699	412	609
A3GALT2_CCDS60080.1_ex1_1:33777651-33777674:-_5-4	A3GALT2	690	749	527	231	577	803	857	792	709	835	719	814
A3GALT2_CCDS60080.1_ex0_1:33772950-33772973:-_5-1	A3GALT2	473	538	1020	337	433	470	683	1041	528	744	562	601
A4GALT_CCDS14041.1_ex0_22:43089610-43089633:-_5-4	A4GALT	373	421	124	47	127	895	2780	2748	130	251	206	213
A4GALT_CCDS14041.1_ex0_22:43089467-43089490:-_5-2	A4GALT	705	825	615	908	508	389	542	829	502	706	632	789
A4GALT_CCDS14041.1_ex0_22:43089421-43089444:+_5-1	A4GALT	905	1083	713	398	302	488	906	721	546	636	527	851
A4GALT_CCDS14041.1_ex0_22:43089831-43089854:+_5-5	A4GALT	324	354	164	308	124	116	138	314	255	361	410	467
A4GALT_CCDS14041.1_ex0_22:43089524-43089547:-_5-3	A4GALT	610	828	303	464	849	553	688	813	632	836	822	1007
A4GNT_CCDS3097.1_ex1_3:137849873-137849896:+_5-4	A4GNT	312	391	810	49	114	473	511	697	302	327	324	325
A4GNT_CCDS3097.1_ex1_3:137849755-137849778:+_5-3	A4GNT	387	418	547	300	192	264	212	66	302	363	355	251
A4GNT_CCDS3097.1_ex1_3:137849975-137849998:-_5-5	A4GNT	371	382	241	503	47	568	363	529	280	430	363	384
A4GNT_CCDS3097.1_ex0_3:137843639-137843662:+_5-1	A4GNT	411	560	193	169	570	898	503	435	403	500	388	511
A4GNT_CCDS3097.1_ex1_3:137849724-137849747:+_5-2	A4GNT	239	311	384	65	320	403	418	386	297	281	346	265
AAAS_CCDS53797.1_ex11_12:53709177-53709200:-_5-3	AAAS	2	5	0	0	0	0	0	0	0	0	0	0
AAAS_CCDS53797.1_ex13_12:53714441-53714464:+_5-5	AAAS	571	609	660	676	606	999	447	577	610	843	422	419
AAAS_CCDS53797.1_ex11_12:53709154-53709177:+_5-2	AAAS	293	368	225	189	329	213	284	306	214	362	412	467
AAAS_CCDS53797.1_ex13_12:53714423-53714446:-_5-4	AAAS	282	409	497	127	21	218	212	226	480	441	249	344
AAAS_CCDS53797.1_ex8_12:53703443-53703466:-_5-1	AAAS	351	475	388	343	276	394	963	1039	340	371	315	354
AACS_CCDS9263.1_ex1_12:125558424-125558447:+_5-1	AACS	35	32	14	0	27	13	48	20	44	23	0	13
AACS_CCDS9263.1_ex2_12:125561055-125561078:+_5-2	AACS	710	896	1173	637	761	646	919	988	592	961	627	851
AACS_CCDS9263.1_ex7_12:125591776-125591799:-_5-4	AACS	847	954	1111	509	1284	1273	1348	1424	1035	1175	747	992
AACS_CCDS9263.1_ex8_12:125599087-125599110:-_5-5	AACS	397	453	184	415	266	133	270	225	296	413	319	610
AACS_CCDS9263.1_ex4_12:125576051-125576074:-_5-3	AACS	460	508	303	492	167	834	342	348	294	423	591	430
AADAC_CCDS33877.1_ex4_3:151545476-151545499:+_5-4	AADAC	65	72	88	95	150	31	403	348	48	90	39	72
AADAC_CCDS33877.1_ex4_3:151545547-151545570:-_5-5	AADAC	352	394	391	541	501	430	1378	1623	285	417	678	702
AADAC_CCDS33877.1_ex1_3:151535152-151535175:+_5-1	AADAC	460	553	307	1020	603	173	563	658	410	610	613	591
AADAC_CCDS33877.1_ex1_3:151535327-151535350:+_5-3	AADAC	110	127	88	0	905	10	193	144	96	148	19	116
AADAC_CCDS33877.1_ex1_3:151535307-151535330:+_5-2	AADAC	79	104	23	0	17	275	83	81	101	114	209	275
AADACL2_CCDS3161.2_ex3_3:151463446-151463469:+_5-5	AADACL2	508	654	328	341	863	506	399	458	401	645	463	625
AADACL2_CCDS3161.2_ex3_3:151463402-151463425:-_5-4	AADACL2	523	704	194	748	91	547	548	539	512	566	539	663
AADACL2_CCDS3161.2_ex1_3:151458562-151458585:-_5-2	AADACL2	184	195	127	198	940	38	139	216	123	224	37	145
AADACL2_CCDS3161.2_ex0_3:151451944-151451967:+_5-1	AADACL2	14	11	0	0	0	37	0	0	27	7	7	29
AADACL2_CCDS3161.2_ex2_3:151461893-151461916:+_5-3	AADACL2	133	148	295	94	111	93	78	135	133	123	119	106
AADACL3_CCDS41252.1_ex2_1:12785358-12785381:+_5-3	AADACL3	422	546	145	280	322	450	279	195	267	233	411	405
AADACL3_CCDS41252.1_ex2_1:12785608-12785631:+_5-5	AADACL3	175	202	88	26	258	81	151	296	157	283	153	237
AADACL3_CCDS41252.1_ex2_1:12785258-12785281:+_5-1	AADACL3	393	547	749	367	410	592	418	745	385	774	480	710
AADACL3_CCDS41252.1_ex2_1:12785419-12785442:-_5-4	AADACL3	159	214	22	52	162	35	144	150	35	96	104	53
AADACL3_CCDS41252.1_ex2_1:12785334-12785357:-_5-2	AADACL3	225	273	110	132	219	315	60	124	233	312	101	106
AADACL4_CCDS30590.1_ex1_1:12711250-12711273:+_5-2	AADACL4	411	445	405	139	172	422	569	477	345	693	260	584
AADACL4_CCDS30590.1_ex2_1:12721791-12721814:+_5-4	AADACL4	266	274	220	133	372	494	453	244	173	291	216	358
AADACL4_CCDS30590.1_ex0_1:12704714-12704737:-_5-1	AADACL4	328	447	697	298	230	573	579	442	405	673	424	439
AADACL4_CCDS30590.1_ex2_1:12721814-12721837:-_5-5	AADACL4	460	633	421	445	794	661	307	357	343	403	205	504
AADACL4_CCDS30590.1_ex1_1:12711326-12711349:-_5-3	AADACL4	544	672	635	591	710	610	509	604	626	793	618	879
AADAT_CCDS3814.1_ex10_4:171008288-171008311:-_5-3	AADAT	239	309	154	127	99	628	352	369	238	213	148	244
AADAT_CCDS3814.1_ex11_4:171009609-171009632:-_5-5	AADAT	45	56	27	0	0	101	116	29	69	76	9	24
AADAT_CCDS3814.1_ex8_4:170994468-170994491:+_5-2	AADAT	446	457	267	428	103	426	453	576	447	563	368	519
AADAT_CCDS3814.1_ex11_4:171009546-171009569:-_5-4	AADAT	581	732	193	535	210	286	278	247	355	469	274	531
AADAT_CCDS3814.1_ex8_4:170994416-170994439:+_5-1	AADAT	149	148	15	51	0	206	54	115	121	130	153	154
AAED1_CCDS35073.1_ex5_9:99417373-99417396:+_5-4	AAED1	889	1071	8081	511	539	1141	757	792	824	1273	792	1084
AAED1_CCDS35073.1_ex5_9:99417399-99417422:+_5-5	AAED1	404	541	651	166	623	654	596	502	461	425	490	494
AAED1_CCDS35073.1_ex4_9:99417018-99417041:-_5-3	AAED1	87	89	129	8	12	0	29	40	14	41	65	17
AAED1_CCDS35073.1_ex3_9:99413958-99413981:+_5-2	AAED1	53	45	26	0	0	19	134	203	25	39	34	27
AAED1_CCDS35073.1_ex2_9:99413754-99413777:+_5-1	AAED1	285	346	733	322	675	499	292	250	316	503	352	483
AAGAB_CCDS42050.1_ex4_15:67501824-67501847:-_5-2	AAGAB	208	264	145	39	219	470	125	100	133	281	210	283
AAGAB_CCDS42050.1_ex6_15:67528322-67528345:-_5-5	AAGAB	407	493	173	348	337	453	285	418	429	531	293	362
AAGAB_CCDS42050.1_ex5_15:67524213-67524236:-_5-4	AAGAB	220	287	217	30	175	84	194	87	121	157	113	185
AAGAB_CCDS42050.1_ex3_15:67500938-67500961:+_5-1	AAGAB	477	552	311	301	351	381	160	204	425	499	442	635
AAGAB_CCDS42050.1_ex5_15:67524161-67524184:+_5-3	AAGAB	221	264	221	9	31	318	185	29	162	300	276	249
AAK1_CCDS1893.2_ex11_2:69748068-69748091:-_5-2	AAK1	634	769	452	125	798	628	381	439	595	702	781	1027
AAK1_CCDS1893.2_ex20_2:69870036-69870059:-_5-5	AAK1	537	603	397	118	163	569	407	368	418	481	320	650
AAK1_CCDS1893.2_ex15_2:69757767-69757790:-_5-4	AAK1	371	400	68	275	171	498	280	271	218	275	413	593
AAK1_CCDS1893.2_ex13_2:69754414-69754437:+_5-3	AAK1	1131	1376	1403	628	1124	2741	929	965	1151	1615	1353	1579
AAK1_CCDS1893.2_ex10_2:69746228-69746251:-_5-1	AAK1	948	1078	883	1314	660	882	1307	1154	1000	1181	1101	1640
AAMDC_CCDS8254.1_ex1_11:77580845-77580868:+_5-4	AAMDC	335	405	212	140	542	267	256	373	350	495	217	409
AAMDC_CCDS8254.1_ex0_11:77553633-77553656:+_5-1	AAMDC	776	946	255	807	393	994	674	755	713	903	578	837
AAMDC_CCDS8254.1_ex1_11:77580763-77580786:-_5-2	AAMDC	377	509	727	390	319	688	388	310	448	547	220	362
AAMDC_CCDS8254.1_ex1_11:77580785-77580808:-_5-3	AAMDC	530	746	280	450	445	832	844	558	514	602	566	676
AAMDC_CCDS8254.1_ex2_11:77583223-77583246:-_5-5	AAMDC	435	491	316	226	804	597	486	447	632	686	385	425
AAMP_CCDS33378.1_ex10_2:219134694-219134717:-_5-5	AAMP	939	1039	32	223	219	444	948	579	389	399	292	302
AAMP_CCDS33378.1_ex9_2:219134119-219134142:+_5-4	AAMP	751	694	812	1074	494	1314	688	825	537	792	395	609
AAMP_CCDS33378.1_ex6_2:219131229-219131252:+_5-1	AAMP	558	754	58	264	340	201	293	288	106	45	172	145
AAMP_CCDS33378.1_ex8_2:219132241-219132264:+_5-2	AAMP	76	90	141	303	276	239	271	238	36	97	167	187
AAMP_CCDS33378.1_ex8_2:219132278-219132301:-_5-3	AAMP	547	645	100	124	228	995	81	133	53	50	117	236
AANAT_CCDS11745.1_ex0_17:74464923-74464946:-_5-1	AANAT	599	786	550	637	1097	938	488	520	368	751	530	710
AANAT_CCDS11745.1_ex1_17:74465314-74465337:-_5-4	AANAT	263	377	188	24	653	241	117	232	220	404	204	295
AANAT_CCDS11745.1_ex1_17:74465365-74465388:+_5-5	AANAT	1094	1194	1533	816	1134	1527	1081	1059	964	1403	1075	1370
AANAT_CCDS11745.1_ex0_17:74464970-74464993:-_5-2	AANAT	537	607	535	370	430	682	621	425	330	509	365	386
