sgrna	X1	X2
HIST1H2BH_CCDS4601.1_ex0_6:26252016-26252039:+_4-2	1.271791e+00	1.621374e+00
NHP2L1_CCDS14022.1_ex0_22:42071117-42071140:+_5-2	9.064286e-01	8.252347e-01
PRPF19_CCDS7995.1_ex12_11:60670239-60670262:+_5-5	1.237212e+00	1.534714e+00
PRPF19_CCDS7995.1_ex9_11:60668995-60669018:+_5-3	1.102904e+00	1.220292e+00
HIST1H2BC_CCDS4584.1_ex0_6:26123971-26123994:-_4-3	1.497263e+00	2.246488e+00
RPS3_CCDS58161.1_ex2_11:75112710-75112733:-_5-2	1.200069e+00	1.443240e+00
AURKB_CCDS11134.1_ex3_17:8110171-8110194:+_5-3	9.965738e-01	9.975434e-01
SMU1_CCDS6534.1_ex6_9:33060535-33060558:-_5-1	6.908768e-01	4.825607e-01
RPL37A_CCDS2404.1_ex1_2:217364084-217364107:-_4-1	1.138898e+00	1.300962e+00
RPL37A_CCDS2404.1_ex2_2:217364689-217364712:+_4-3	1.169579e+00	1.371968e+00
LRR1_CCDS9686.1_ex0_14:50065886-50065909:-_5-1	1.173052e+00	1.380299e+00
RPS28_CCDS45953.1_ex2_19:8386832-8386855:+_2-1	1.000000e+00	1.007579e+00
RPS8_CCDS513.1_ex3_1:45243282-45243305:+_5-3	4.662228e-01	2.215733e-01
PRPF38A_CCDS567.1_ex2_1:52874313-52874336:-_5-3	6.126579e-01	3.797929e-01
PRPF38A_CCDS567.1_ex3_1:52876850-52876873:+_5-5	1.115351e+00	1.249406e+00
EEF2_CCDS12117.1_ex13_19:3984167-3984190:-_5-5	1.209419e+00	1.467471e+00
TUBA1C_CCDS8782.1_ex2_12:49663731-49663754:-_5-3	1.151996e+00	1.330854e+00
FAU_CCDS8095.1_ex2_11:64889014-64889037:+_5-3	1.048839e+00	1.103798e+00
FAU_CCDS8095.1_ex2_11:64889030-64889053:+_5-4	1.123781e+00	1.269574e+00
CTDP1_CCDS12017.1_ex0_18:77440072-77440095:+_5-1	4.692015e-01	2.222262e-01
RPA3_CCDS5356.1_ex1_7:7677525-7677548:+_5-1	5.765883e-01	3.374340e-01
KIF23_CCDS32278.1_ex4_15:69714410-69714433:-_5-1	1.105533e+00	1.227492e+00
SF3B14_CCDS1707.1_ex1_2:24291242-24291265:-_5-2	9.638764e-01	9.343406e-01
SF3B14_CCDS1707.1_ex1_2:24291310-24291333:+_5-4	1.119028e+00	1.258427e+00
POLR2F_CCDS13963.1_ex2_22:38355419-38355442:-_5-2	9.296835e-01	8.700878e-01
POLR2F_CCDS13963.1_ex3_22:38363105-38363128:+_5-5	1.173407e+00	1.381149e+00
RPS9_CCDS12884.1_ex2_19:54710210-54710233:+_5-3	1.109689e+00	1.237382e+00
UBA52_CCDS12382.1_ex1_19:18684536-18684559:+_5-3	7.774677e-01	6.096422e-01
LSM7_CCDS45907.1_ex0_19:2321791-2321814:-_5-1	5.922881e-01	3.536279e-01
RPL18_CCDS12726.1_ex3_19:49120006-49120029:-_5-4	1.060382e+00	1.130210e+00
RPA1_CCDS11014.1_ex2_17:1747243-1747266:-_5-1	1.140413e+00	1.305904e+00
MCM2_CCDS3043.1_ex3_3:127323858-127323881:+_5-2	3.589486e-01	1.319230e-01
MCM2_CCDS3043.1_ex6_3:127327238-127327261:+_5-5	1.277139e+00	1.636334e+00
POLR3A_CCDS7354.1_ex27_10:79784796-79784819:-_5-3	8.465218e-01	7.209950e-01
NEDD8_CCDS9621.1_ex1_14:24687393-24687416:-_3-3	9.655876e-01	9.385045e-01
PRELID1_CCDS4415.1_ex1_5:176731706-176731729:+_5-2	9.371920e-01	8.821750e-01
BUD31_CCDS5663.1_ex1_7:99013871-99013894:-_5-5	1.075771e+00	1.163259e+00
SF1_CCDS31599.1_ex9_11:64537847-64537870:+_5-4	7.073158e-01	5.036837e-01
PSMC4_CCDS12547.1_ex5_19:40480655-40480678:-_5-5	9.902864e-01	9.857530e-01
CDC16_CCDS9542.2_ex3_13:115004484-115004507:-_5-2	1.446407e+00	2.098015e+00
CLP1_CCDS44600.1_ex0_11:57427312-57427335:-_5-4	9.783438e-01	9.617211e-01
MCM7_CCDS5683.1_ex7_7:99695546-99695569:-_5-2	7.919540e-01	6.332513e-01
PSMB4_CCDS996.1_ex1_1:151372608-151372631:-_5-4	1.199036e+00	1.443694e+00
ESPL1_CCDS8852.1_ex1_12:53663106-53663129:+_5-1	6.990151e-01	4.918725e-01
CDC23_CCDS4200.2_ex13_5:137542316-137542339:+_5-2	6.938516e-01	4.869969e-01
AARS_CCDS32474.1_ex16_16:70305735-70305758:-_5-3	5.093180e-01	2.623405e-01
SNRPD2_CCDS33053.1_ex0_19:46190925-46190948:-_5-1	7.436939e-01	5.591528e-01
RPS2_CCDS10452.1_ex2_16:2012891-2012914:-_5-3	1.181704e+00	1.402370e+00
PHF5A_CCDS14016.1_ex1_22:41863539-41863562:-_5-4	6.539095e-02	1.030262e-02
RPL27_CCDS11449.1_ex2_17:41154685-41154708:-_5-4	1.285231e+00	1.660109e+00
RPL36_CCDS12147.1_ex1_19:5691336-5691359:+_5-2	7.712612e-01	5.988073e-01
CDC123_CCDS7090.1_ex5_10:12259435-12259458:-_5-5	8.366297e-01	7.064227e-01
PSMA6_CCDS61437.1_ex3_14:35780003-35780026:+_5-1	1.284525e+00	1.657023e+00
PSMA6_CCDS61437.1_ex4_14:35782121-35782144:-_5-4	5.806039e-01	3.440401e-01
RPA2_CCDS314.1_ex4_1:28224191-28224214:+_5-2	3.695585e-01	1.395231e-01
WDR43_CCDS46251.1_ex3_2:29135486-29135509:+_5-4	1.235780e+00	1.534749e+00
CDC7_CCDS734.1_ex5_1:91978752-91978775:+_5-4	7.271477e-01	5.348219e-01
